Spot,Sample,Day,Location,LocationNum,%AS,Flow (m*s-1)
4,5,3,Brighton,2,71.48,
4,6,3,Brighton,2,88.41,
5,1,3,Brighton,2,95.63,0.01
5,2,3,Brighton,2,98.40,0.01
5,3,3,Brighton,2,53.53,0.00
5,4,3,Brighton,2,84.27,
5,5,3,Brighton,2,76.69,
5,6,3,Brighton,2,86.81,
6,1,3,Brighton,2,96.95,0.01
6,2,3,Brighton,2,94.25,0.02
6,3,3,Brighton,2,66.55,0.01
6,4,3,Brighton,2,78.03,
6,5,3,Brighton,2,41.33,
6,6,3,Brighton,2,88.89,
7,1,3,Brighton,2,96.28,0.01
7,2,3,Brighton,2,96.08,0.04
7,3,3,Brighton,2,37.58,0.02
7,4,3,Brighton,2,79.73,
7,5,3,Brighton,2,90.64,
7,6,3,Brighton,2,5.09,
8,1,3,Brighton,2,94.29,0.02
8,2,3,Brighton,2,97.53,0.02
8,3,3,Brighton,2,81.79,0.01
8,4,3,Brighton,2,8.32,
8,5,3,Brighton,2,0.00,
8,6,3,Brighton,2,46.34,
9,1,3,Brighton,2,91.60,0.01
9,2,3,Brighton,2,96.26,0.01
9,3,3,Brighton,2,2.92,0.00
9,4,3,Brighton,2,78.45,
9,5,3,Brighton,2,1.84,
9,6,3,Brighton,2,45.54,
10,1,3,Brighton,2,95.34,0.00
10,2,3,Brighton,2,94.76,0.00
10,3,3,Brighton,2,89.09,0.00
10,4,3,Brighton,2,79.41,
10,5,3,Brighton,2,0.65,
10,6,3,Brighton,2,93.67,
11,1,3,Brighton,2,95.54,0.00
11,2,3,Brighton,2,94.40,0.01
11,3,3,Brighton,2,95.80,0.00
11,4,3,Brighton,2,82.70,
11,5,3,Brighton,2,87.26,
11,6,3,Brighton,2,70.62,
12,1,3,Brighton,2,96.90,0.01
12,2,3,Brighton,2,85.34,0.02
12,3,3,Brighton,2,77.40,0.01
12,4,3,Brighton,2,82.49,
12,5,3,Brighton,2,85.07,
12,6,3,Brighton,2,39.86,
1,1,4,Brighton,2,96.10,0.01
1,2,4,Brighton,2,95.60,0.01
1,3,4,Brighton,2,92.19,0.00
1,4,4,Brighton,2,92.19,
1,5,4,Brighton,2,94.23,
1,6,4,Brighton,2,89.14,
2,1,4,Brighton,2,96.82,0.01
2,2,4,Brighton,2,94.25,0.01
2,3,4,Brighton,2,91.97,0.01
2,4,4,Brighton,2,91.32,
2,5,4,Brighton,2,91.31,
2,6,4,Brighton,2,86.24,
3,1,4,Brighton,2,98.45,0.01
3,2,4,Brighton,2,93.55,0.01
3,3,4,Brighton,2,97.39,0.01
3,4,4,Brighton,2,82.63,
3,5,4,Brighton,2,70.91,
3,6,4,Brighton,2,87.41,
4,1,4,Brighton,2,96.33,0.00
4,2,4,Brighton,2,97.90,0.00
4,3,4,Brighton,2,81.32,0.01
4,4,4,Brighton,2,83.31,
4,5,4,Brighton,2,87.87,
4,6,4,Brighton,2,39.70,
5,1,4,Brighton,2,91.68,0.00
5,2,4,Brighton,2,90.79,0.01
5,3,4,Brighton,2,78.28,0.00
5,4,4,Brighton,2,93.67,
5,5,4,Brighton,2,96.20,
5,6,4,Brighton,2,90.67,
6,1,4,Brighton,2,97.20,0.01
6,2,4,Brighton,2,91.59,0.01
6,3,4,Brighton,2,87.46,0.01
6,4,4,Brighton,2,86.19,
6,5,4,Brighton,2,76.80,
6,6,4,Brighton,2,84.49,
7,1,4,Brighton,2,73.82,0.01
7,2,4,Brighton,2,90.61,0.01
7,3,4,Brighton,2,83.24,0.01
7,4,4,Brighton,2,87.84,
7,5,4,Brighton,2,88.25,
7,6,4,Brighton,2,84.87,
8,1,4,Brighton,2,94.42,0.01
8,2,4,Brighton,2,85.92,0.01
8,3,4,Brighton,2,94.42,0.01
8,4,4,Brighton,2,74.21,
8,5,4,Brighton,2,81.94,
8,6,4,Brighton,2,82.59,
9,1,4,Brighton,2,89.61,0.01
9,2,4,Brighton,2,87.41,0.01
9,3,4,Brighton,2,76.26,0.02
9,4,4,Brighton,2,68.62,
9,5,4,Brighton,2,73.64,
9,6,4,Brighton,2,79.63,
10,1,4,Brighton,2,91.56,0.02
10,2,4,Brighton,2,57.63,0.01
10,3,4,Brighton,2,37.65,0.01
10,4,4,Brighton,2,81.77,
10,5,4,Brighton,2,82.75,
10,6,4,Brighton,2,76.31,
11,1,4,Brighton,2,98.00,0.02
11,2,4,Brighton,2,97.92,0.02
11,3,4,Brighton,2,85.37,0.03
11,4,4,Brighton,2,78.22,
11,5,4,Brighton,2,84.26,
11,6,4,Brighton,2,83.33,
12,1,4,Brighton,2,85.61,0.02
12,2,4,Brighton,2,77.57,0.01
12,3,4,Brighton,2,92.60,0.00
12,4,4,Brighton,2,93.69,
12,5,4,Brighton,2,75.13,
12,6,4,Brighton,2,76.76,
1,1,5,Brighton,2,93.75,0.00
1,2,5,Brighton,2,90.37,0.00
1,3,5,Brighton,2,93.20,0.00
1,4,5,Brighton,2,92.93,
1,5,5,Brighton,2,91.45,
